movie,studio,foreign_gross,year,id_x,release_date_x,production_budget,domestic_gross,worldwide_gross,Unnamed: 0,genre_ids,id_y,original_language,popularity,release_date_y,title,vote_average,vote_count,parsed_genres
Take Shelter,SPC,1400000.0,2011,9,2011-09-30,4750000,1728953,4972016,2588,"[53, 18]",64720,en,11.235999999999999,2011-09-30,Take Shelter,7.2,787,"[53, 18]"
Everything Must Go,RAtt.,41100000.0,2011,50,2011-05-13,5000000,2712131,2821010,2788,"[35, 18, 10749]",45658,en,7.492999999999999,2011-05-13,Everything Must Go,6.0,301,"[35, 18, 10749]"
Brighton Rock,IFC,1600000.0,2011,11,2011-08-26,11000000,229653,229653,3017,"[18, 53, 80]",62728,en,4.749,2011-08-26,Brighton Rock,6.0,57,"[18, 53, 80]"
Another Earth,FoxS,456000.0,2011,48,2011-07-22,175000,1321194,2102779,2633,"[18, 878]",55420,en,10.03,2011-07-22,Another Earth,6.7,853,"[18, 878]"
A Better Life,Sum.,41100000.0,2011,84,2011-06-24,10000000,1759252,1884251,2922,[18],55720,en,5.885,2011-06-24,A Better Life,7.1,97,[18]
A Better Life,Sum.,41100000.0,2011,84,2011-06-24,10000000,1759252,1884251,16530,[99],418293,en,0.6,2015-05-01,A Better Life,10.0,1,[99]
The Art of Getting By,FoxS,41100000.0,2011,20,2011-06-17,4000000,1430241,1989035,2692,"[18, 10749]",64678,en,8.695,2011-06-17,The Art of Getting By,6.5,752,"[18, 10749]"
The Devil's Double,LGF,41100000.0,2011,23,2011-07-29,19100000,1361512,5965646,2786,"[18, 28, 53, 80, 10752]",62630,en,7.505,2011-07-29,The Devil's Double,6.7,291,"[18, 28, 53, 80, 10752]"
Red State,SMod,41100000.0,2011,22,2011-09-23,4000000,1065429,1983596,2758,"[27, 28, 53]",48572,en,7.816,2011-09-23,Red State,6.1,472,"[27, 28, 53]"
There Be Dragons,Gold.,41100000.0,2011,21,2011-05-06,36000000,1069334,4020990,2831,"[18, 10752]",45054,en,7.058,2011-05-06,There Be Dragons,5.1,93,"[18, 10752]"
Meek's Cutoff,Osci.,41100000.0,2011,40,2011-04-08,2000000,977772,1869928,290,"[18, 37]",57120,en,7.309,2010-10-08,Meek's Cutoff,6.5,113,"[18, 37]"
Submarine,Wein.,397000.0,2011,9,2011-06-03,1900000,467602,4581937,2797,"[18, 35, 10749]",49020,en,7.412000000000001,2011-06-03,Submarine,7.4,770,"[18, 35, 10749]"
Higher Ground,SPC,41100000.0,2011,25,2011-08-23,1800000,841056,842693,3031,"[18, 53]",50875,en,4.545,2011-08-26,Higher Ground,5.9,21,"[18, 53]"
Blackthorn,Magn.,423000.0,2011,46,2011-10-07,4500000,200558,1217307,2780,"[12, 28, 37]",68818,en,7.547999999999999,2011-10-07,Blackthorn,6.7,111,"[12, 28, 37]"
The Future,RAtt.,41100000.0,2011,62,2011-07-29,1000000,568662,1239174,3088,"[35, 18]",54662,en,3.8360000000000003,2011-07-29,The Future,5.8,38,"[35, 18]"
Circumstance,RAtt.,41100000.0,2011,41,2011-08-26,900000,454121,958978,3222,[18],60421,fa,2.86,2011-08-26,Circumstance,6.9,45,[18]
The Other Woman,IFC,427000.0,2011,2,2014-04-25,40000000,83911193,195111193,2664,[18],52505,en,9.15,2011-02-04,The Other Woman,6.2,220,[18]
The Other Woman,IFC,427000.0,2011,2,2014-04-25,40000000,83911193,195111193,11121,"[35, 10749]",193610,en,11.894,2014-04-25,The Other Woman,6.3,2276,"[35, 10749]"
Hesher,WHE,41100000.0,2011,54,2011-05-13,7000000,382946,382946,302,[18],44835,en,7.14,2010-01-22,Hesher,7.0,335,[18]
Another Happy Day,P4,347000.0,2011,52,2011-11-18,4000000,9120,978527,2954,"[35, 18]",60422,en,5.473,2011-11-18,Another Happy Day,6.1,60,"[35, 18]"
Super,IFC,41100000.0,2011,34,2011-04-01,2500000,327716,593933,2581,"[35, 28, 18]",45132,en,11.36,2011-03-31,Super,6.6,726,"[35, 28, 18]"
Rubber,Magn.,41100000.0,2011,55,2011-04-01,500000,100370,680914,218,"[35, 18, 14, 27, 9648]",45649,en,8.318999999999999,2010-09-01,Rubber,5.9,417,"[35, 18, 14, 27, 9648]"
Rubber,Magn.,41100000.0,2011,55,2011-04-01,500000,100370,680914,2717,"[35, 18, 14, 27, 9648]",45649,en,8.318999999999999,2010-09-01,Rubber,5.9,417,"[35, 18, 14, 27, 9648]"
Beautiful Boy,Anch.,41100000.0,2011,95,2018-10-12,25000000,7634767,13031424,2924,[18],59437,en,5.872000000000001,2011-06-03,Beautiful Boy,6.0,47,[18]
Beautiful Boy,Anch.,41100000.0,2011,95,2018-10-12,25000000,7634767,13031424,23927,[18],451915,en,17.409000000000002,2018-10-12,Beautiful Boy,7.6,500,[18]
Margaret,FoxS,41100000.0,2011,27,2011-09-30,14000000,47185,623292,2689,[18],44754,en,8.747,2011-09-30,Margaret,6.3,138,[18]
Stake Land,IFC,41100000.0,2011,47,2011-04-22,4000000,33245,679482,187,"[18, 27, 878]",52015,en,8.799,2010-10-01,Stake Land,6.2,415,"[18, 27, 878]"
The Son of No One,Anch.,41100000.0,2011,51,2011-11-04,15000000,30680,1148578,2773,"[18, 53, 80]",74536,en,7.586,2011-11-04,The Son of No One,5.1,156,"[18, 53, 80]"
5 Days of War,Anch.,41100000.0,2011,47,2011-08-19,12000000,17479,87793,2693,"[10752, 18]",50601,en,8.689,2011-08-18,5 Days of War,5.7,102,"[10752, 18]"
Blood Ties,ALP,41100000.0,2011,52,2014-03-21,26000000,42472,2923959,11120,"[53, 80, 18]",190955,en,12.003,2014-03-21,Blood Ties,6.1,268,"[53, 80, 18]"
Skyfall,Sony,804200000.0,2012,52,2012-11-08,200000000,304360277,1110526981,5193,"[28, 12, 53]",37724,en,19.27,2012-11-09,Skyfall,7.1,10441,"[28, 12, 53]"
The Dark Knight Rises,WB,636800000.0,2012,11,2012-07-20,275000000,448139099,1084439099,5182,"[28, 80, 18, 53]",49026,en,26.22,2012-07-20,The Dark Knight Rises,7.7,13933,"[28, 80, 18, 53]"
The Hobbit: An Unexpected Journey,WB (NL),718100000.0,2012,19,2012-12-14,250000000,303003568,1017003568,5180,"[12, 14, 28]",49051,en,26.939,2012-12-14,The Hobbit: An Unexpected Journey,7.2,12076,"[12, 14, 28]"
Ice Age: Continental Drift,Fox,715900000.0,2012,14,2012-07-13,95000000,161321843,879765137,5202,"[16, 35, 12, 10751]",57800,en,17.537,2012-07-13,Ice Age: Continental Drift,6.3,4598,"[16, 35, 12, 10751]"
The Amazing Spider-Man,Sony,495900000.0,2012,31,2012-07-03,220000000,262030663,757890267,5186,"[28, 12, 14]",1930,en,24.391,2012-07-04,The Amazing Spider-Man,6.5,10411,"[28, 12, 14]"
Madagascar 3: Europe's Most Wanted,P/DW,530500000.0,2012,97,2012-06-08,145000000,216391482,746921271,5196,"[16, 10751, 35]",80321,en,18.705,2012-06-08,Madagascar 3: Europe's Most Wanted,6.5,3380,"[16, 10751, 35]"
The Hunger Games,LGF,286400000.0,2012,38,2012-03-23,80000000,408010692,677923379,5235,"[878, 12, 14]",70160,en,14.212,2012-03-23,The Hunger Games,7.1,14587,"[878, 12, 14]"
Life of Pi,Fox,484000000.0,2012,88,2012-11-21,120000000,124987022,620912003,5223,"[12, 18, 28]",87827,en,15.0,2012-11-21,Life of Pi,7.3,8723,"[12, 18, 28]"
Ted,Uni.,330600000.0,2012,84,2012-06-29,50000000,218665740,556016627,5231,"[35, 14]",72105,en,14.475,2012-06-29,Ted,6.3,7727,"[35, 14]"
Brave,BV,303200000.0,2012,77,2012-06-22,185000000,237282182,554606532,5195,"[16, 12, 35, 10751, 28, 14]",62177,en,18.908,2012-06-22,Brave,6.9,8116,"[16, 12, 35, 10751, 28, 14]"
Wreck-It Ralph,BV,281800000.0,2012,31,2012-11-02,165000000,189412677,496511521,5187,"[10751, 16, 35, 12]",82690,en,22.967,2012-11-02,Wreck-It Ralph,7.3,7780,"[10751, 16, 35, 12]"
Django Unchained,Wein.,262600000.0,2012,69,2012-12-25,100000000,162805434,449948323,5189,"[18, 37]",68718,en,21.26,2012-12-25,Django Unchained,8.0,15725,"[18, 37]"
Prometheus,Fox,276900000.0,2012,75,2012-06-08,125000000,126477084,402448265,5184,"[878, 12, 9648]",70981,en,24.98,2012-06-08,Prometheus,6.4,7384,"[878, 12, 9648]"
Snow White and the Huntsman,Uni.,241300000.0,2012,19,2012-06-01,170000000,155136755,401021746,5190,"[12, 14, 18]",58595,en,21.233,2012-06-01,Snow White and the Huntsman,5.9,5258,"[12, 14, 18]"
Taken 2,Fox,236300000.0,2012,54,2012-10-05,45000000,139854287,377807404,5209,"[28, 80, 53]",82675,en,16.078,2012-10-04,Taken 2,6.2,4035,"[28, 80, 53]"
Hotel Transylvania,Sony,210100000.0,2012,96,2012-09-28,85000000,148313048,378505812,5220,"[16, 35, 10751, 14]",76492,en,15.318,2012-09-28,Hotel Transylvania,6.9,5013,"[16, 35, 10751, 14]"
Journey 2: The Mysterious Island,WB (NL),231400000.0,2012,10,2012-02-10,79000000,103860290,318146162,5232,"[12, 28, 878]",72545,en,14.454,2012-02-10,Journey 2: The Mysterious Island,5.9,2152,"[12, 28, 878]"
The Expendables 2,LGF,229900000.0,2012,81,2012-08-17,100000000,85028192,311979256,5204,"[28, 12, 53]",76163,en,17.215999999999998,2012-08-17,The Expendables 2,6.2,4219,"[28, 12, 53]"
Rise of the Guardians,P/DW,203500000.0,2012,2,2012-11-21,145000000,103412758,306900902,5225,"[16, 10751, 14]",81188,en,14.934000000000001,2012-11-21,Rise of the Guardians,7.3,3697,"[16, 10751, 14]"
Wrath of the Titans,WB,221600000.0,2012,87,2012-03-30,150000000,83670083,305270083,5224,"[14, 12, 28]",57165,en,14.991,2012-03-29,Wrath of the Titans,5.6,2442,"[14, 12, 28]"
Battleship,Uni.,237600000.0,2012,32,2012-05-18,220000000,65233400,313477717,5188,"[53, 28, 12, 878]",44833,en,21.741999999999997,2012-05-18,Battleship,5.6,3240,"[53, 28, 12, 878]"
John Carter,BV,211100000.0,2012,14,2012-03-09,275000000,73058679,282778100,5197,"[28, 12, 878]",49529,en,18.549,2012-03-09,John Carter,6.1,3338,"[28, 12, 878]"
The Bourne Legacy,Uni.,162900000.0,2012,76,2012-08-10,125000000,113203870,280355920,5200,"[28, 53]",49040,en,18.05,2012-08-10,The Bourne Legacy,6.1,3630,"[28, 53]"
Lincoln,BV,93100000.0,2012,73,2012-11-09,65000000,182207973,273346281,5258,"[36, 18]",72976,en,12.693,2012-11-16,Lincoln,6.8,2261,"[36, 18]"
Dark Shadows,WB,165800000.0,2012,89,2012-05-11,150000000,79727149,238202668,5213,"[35, 14]",62213,en,15.75,2012-05-11,Dark Shadows,5.9,4197,"[35, 14]"
Resident Evil: Retribution,SGem,197700000.0,2012,4,2012-09-14,65000000,42345531,240647629,6401,"[28, 27, 878]",71679,en,1.325,2012-09-14,Resident Evil: Retribution,5.7,2321,"[28, 27, 878]"
Silver Linings Playbook,Wein.,104300000.0,2012,59,2012-11-16,21000000,132092958,236412453,5218,"[18, 35, 10749]",82693,en,15.350999999999999,2012-12-25,Silver Linings Playbook,7.1,7636,"[18, 35, 10749]"
American Reunion,Uni.,178000000.0,2012,26,2012-04-06,50000000,56758835,236799211,5205,[35],71552,en,17.199,2012-04-06,American Reunion,6.2,2679,[35]
Argo,WB,96300000.0,2012,27,2012-10-12,44500000,136025503,227140757,5212,"[18, 53]",68734,en,15.793,2012-10-12,Argo,7.2,5127,"[18, 53]"
Jack Reacher,Par.,138300000.0,2012,68,2012-12-21,60000000,80070736,217370736,5198,"[80, 18, 53, 28]",75780,en,18.312,2012-12-21,Jack Reacher,6.4,4155,"[80, 18, 53, 28]"
Safe House,Uni.,81700000.0,2012,99,2012-02-10,85000000,126181630,208542162,5251,"[28, 53]",59961,en,13.116,2012-02-10,Safe House,6.4,1997,"[28, 53]"
21 Jump Street,Sony,63100000.0,2012,44,2012-03-16,42000000,138447667,202812429,5226,"[28, 35, 80]",64688,en,14.835999999999999,2012-03-12,21 Jump Street,6.8,6527,"[28, 35, 80]"
The Vow,SGem,71100000.0,2012,42,2012-02-10,30000000,125014030,197618160,5252,"[18, 10749]",72570,en,13.046,2012-02-10,The Vow,7.1,2409,"[18, 10749]"
Mirror Mirror,Rela.,118100000.0,2012,7,2012-03-30,85000000,64935167,173613482,5247,"[12, 35, 18, 10751, 14]",62764,en,13.220999999999998,2012-03-30,Mirror Mirror,5.8,2099,"[12, 35, 18, 10751, 14]"
The Dictator,Par.,119700000.0,2012,96,2012-05-16,65000000,59650222,180148897,5260,[35],76493,en,12.592,2012-05-16,The Dictator,6.0,3042,[35]
Looper,TriS,110000000.0,2012,69,2012-09-28,30000000,66486205,170466405,5207,"[28, 53, 878]",59967,en,16.779,2012-09-28,Looper,6.8,6723,"[28, 53, 878]"
Magic Mike,WB,53500000.0,2012,88,2012-06-29,7000000,113721571,170549753,5241,"[18, 35]",77930,en,13.7,2012-06-29,Magic Mike,6.1,1850,"[18, 35]"
Flight,Par.,68000000.0,2012,23,2012-11-02,31000000,93772375,160558438,5275,[18],87502,en,11.692,2012-11-02,Flight,6.7,3582,[18]
This Means War,Fox,101700000.0,2012,98,2012-02-17,65000000,54760791,156974557,5271,"[28, 35, 10749]",59962,en,12.017000000000001,2012-02-17,This Means War,6.0,2096,"[28, 35, 10749]"
Paranormal Activity 4,Par.,88900000.0,2012,59,2012-10-19,5000000,53900335,142817992,5347,[27],82990,en,8.965,2012-10-19,Paranormal Activity 4,5.4,1026,[27]
Step Up Revolution,LG/S,105400000.0,2012,74,2012-07-27,33000000,35074677,165552290,5290,"[10402, 18, 10749]",85446,en,10.925,2012-07-27,Step Up Revolution,6.8,1252,"[10402, 18, 10749]"
The Best Exotic Marigold Hotel,FoxS,90400000.0,2012,55,2012-05-04,10000000,46383639,134639780,5361,"[18, 35]",74534,en,8.665,2012-05-25,The Best Exotic Marigold Hotel,6.9,756,"[18, 35]"
Zero Dark Thirty,Sony,37100000.0,2012,66,2012-12-19,52500000,95720716,134612435,5234,"[53, 18, 36]",97630,en,14.239,2012-12-19,Zero Dark Thirty,6.9,2553,"[53, 18, 36]"
Ghost Rider: Spirit of Vengeance,Sony,80800000.0,2012,73,2012-02-17,57000000,51774002,149217355,2482,"[28, 14, 53]",71676,en,18.678,2011-12-10,Ghost Rider: Spirit of Vengeance,4.8,2039,"[28, 14, 53]"
Cloud Atlas,WB,103400000.0,2012,63,2012-10-26,102000000,27108272,130673154,5227,"[18, 878]",83542,en,14.681,2012-10-26,Cloud Atlas,6.8,4505,"[18, 878]"
The Woman in Black,CBS,73400000.0,2012,18,2012-02-03,15000000,54333290,128955898,5257,"[18, 27, 53]",65086,en,12.780999999999999,2012-02-03,The Woman in Black,6.1,2122,"[18, 27, 53]"
Parental Guidance,Fox,42500000.0,2012,79,2012-12-25,25000000,77267296,120832383,5303,[35],88042,en,10.124,2012-12-25,Parental Guidance,5.8,276,[35]
Abraham Lincoln: Vampire Hunter,Fox,79000000.0,2012,65,2012-06-22,67500000,37519139,137489730,5262,"[28, 14, 27]",72331,en,12.498,2012-06-22,Abraham Lincoln: Vampire Hunter,5.6,2009,"[28, 14, 27]"
Pitch Perfect,Uni.,50300000.0,2012,75,2012-09-28,17000000,65001093,116044347,5239,"[35, 10402, 10749]",114150,en,13.886,2012-09-28,Pitch Perfect,7.3,4233,"[35, 10402, 10749]"
Hope Springs,Sony,50700000.0,2012,75,2012-08-08,30000000,63536011,133085295,5380,"[18, 35, 10749]",82696,en,8.312999999999999,2012-08-07,Hope Springs,6.1,429,"[18, 35, 10749]"
ParaNorman,Focus,51100000.0,2012,89,2012-08-17,60000000,56003051,108119662,5244,"[10751, 16, 12, 35]",77174,en,13.32,2012-08-17,ParaNorman,6.8,1358,"[10751, 16, 12, 35]"
The Campaign,WB,18000000.0,2012,18,2012-08-10,95000000,86907746,104907746,5298,[35],77953,en,10.265999999999998,2012-08-10,The Campaign,5.7,982,[35]
Project X,WB,48000000.0,2012,58,2012-03-02,12000000,54731865,103028188,5317,"[35, 80]",57214,en,9.715,2012-03-02,Project X,6.4,2968,"[35, 80]"
Project X,WB,48000000.0,2012,58,2012-03-02,12000000,54731865,103028188,18913,[99],427602,en,1.39,2016-11-18,Project X,5.6,7,[99]
The Devil Inside,Par.,48500000.0,2012,12,2012-01-06,1000000,53262945,101759490,5444,"[53, 27]",76487,en,7.403,2012-01-06,The Devil Inside,4.7,441,"[53, 27]"
The Lucky One,WB,38900000.0,2012,87,2012-04-20,25000000,60457138,96633833,5249,"[18, 10749]",77877,en,13.14,2012-04-20,The Lucky One,6.9,2012,"[18, 10749]"
Contraband,Uni.,29700000.0,2012,85,2012-01-13,25000000,66528000,98406855,5265,"[53, 28, 18, 80]",77866,en,12.357000000000001,2012-01-13,Contraband,6.2,1114,"[53, 28, 18, 80]"
Think Like a Man,SGem,4500000.0,2012,45,2012-04-20,12000000,91547205,113373764,5588,"[35, 10749]",67660,en,5.905,2012-04-20,Think Like a Man,6.9,438,"[35, 10749]"
The Possession,LGF,36300000.0,2012,81,2012-08-31,14000000,49130588,82925064,5345,"[27, 53]",77883,en,8.978,2012-08-31,The Possession,5.9,918,"[27, 53]"
What to Expect When You're Expecting,LGF,43200000.0,2012,86,2012-05-18,37500000,41152203,88473016,5266,"[10749, 35, 18]",76494,en,12.27,2012-05-18,What to Expect When You're Expecting,5.9,1130,"[10749, 35, 18]"
Frankenweenie,BV,46200000.0,2012,48,2012-10-05,39000000,35287788,81150788,5230,"[16, 35, 10751]",62214,en,14.627,2012-10-05,Frankenweenie,6.8,1685,"[16, 35, 10751]"
Act of Valor,Rela.,11300000.0,2012,52,2012-02-24,12000000,70012847,82497035,5267,"[28, 53, 10752]",75674,en,12.197000000000001,2012-02-24,Act of Valor,6.3,583,"[28, 53, 10752]"
Sinister,LG/S,29600000.0,2012,69,2012-10-12,3000000,48086903,87727807,5070,"[9648, 27]",288250,en,0.6,2011-05-03,Sinister,3.8,8,"[9648, 27]"
Sinister,LG/S,29600000.0,2012,69,2012-10-12,3000000,48086903,87727807,5250,"[27, 53, 9648]",82507,en,13.117,2012-10-12,Sinister,6.8,2935,"[27, 53, 9648]"
The Grey,ORF,25700000.0,2012,95,2012-01-27,25000000,51580136,81249176,2543,"[18, 53, 28, 12]",75174,en,12.942,2012-01-27,The Grey,6.5,2280,"[18, 53, 28, 12]"
The Grey,ORF,25700000.0,2012,95,2012-01-27,25000000,51580136,81249176,5253,"[18, 53, 28, 12]",75174,en,12.942,2012-01-27,The Grey,6.5,2280,"[18, 53, 28, 12]"
Diary of a Wimpy Kid: Dog Days,Fox,28100000.0,2012,17,2012-08-03,22000000,49008662,77229695,5279,"[35, 10751]",82650,en,11.36,2012-08-03,Diary of a Wimpy Kid: Dog Days,6.2,440,"[35, 10751]"
To Rome with Love,SPC,56600000.0,2012,58,2012-06-22,21500000,16684352,74326015,5322,"[10749, 35, 18]",81836,en,9.562999999999999,2012-06-22,To Rome with Love,5.7,1097,"[10749, 35, 18]"
Here Comes the Boom,Sony,27800000.0,2012,52,2012-10-12,42000000,45290318,73239258,5299,"[28, 35]",87826,en,10.265,2012-10-12,Here Comes the Boom,6.0,812,"[28, 35]"
Anna Karenina,Focus,56100000.0,2012,13,2012-11-16,49000000,12816367,71004627,5304,"[18, 10749]",96724,en,9.987,2012-11-16,Anna Karenina,6.7,1265,"[18, 10749]"
The Watch,Fox,32900000.0,2012,27,2012-07-27,55000000,34353000,67130045,5301,"[28, 35, 878]",80035,en,10.228,2012-07-27,The Watch,5.4,1356,"[28, 35, 878]"
Moonrise Kingdom,Focus,22800000.0,2012,33,2012-05-25,16000000,45512466,68848446,5236,"[35, 18, 10749]",83666,en,14.085999999999999,2012-05-25,Moonrise Kingdom,7.7,3023,"[35, 18, 10749]"
The Cabin in the Woods,LGF,24400000.0,2012,11,2012-04-13,30000000,42073277,70689968,2506,"[27, 35, 53]",22970,en,15.335999999999999,2012-04-12,The Cabin in the Woods,6.5,4185,"[27, 35, 53]"
The Cabin in the Woods,LGF,24400000.0,2012,11,2012-04-13,30000000,42073277,70689968,5219,"[27, 35, 53]",22970,en,15.335999999999999,2012-04-12,The Cabin in the Woods,6.5,4185,"[27, 35, 53]"
Rock of Ages,WB (NL),20900000.0,2012,29,2012-06-15,70000000,38518613,61031932,5278,"[35, 18, 10402, 10749]",80585,en,11.369000000000002,2012-06-15,Rock of Ages,6.1,686,"[35, 18, 10402, 10749]"
That's My Boy,Sony,20800000.0,2012,71,2012-06-15,57500000,36931089,58085235,5256,[35],87428,en,12.817,2012-06-15,That's My Boy,5.5,831,[35]
The Odd Life of Timothy Green,BV,4200000.0,2012,36,2012-08-15,40000000,51853450,55249159,5336,"[14, 18, 35, 10751]",71864,en,9.216000000000001,2012-08-15,The Odd Life of Timothy Green,6.7,605,"[14, 18, 35, 10751]"
The Three Stooges,Fox,10500000.0,2012,4,2012-04-13,30000000,44338224,54052249,5331,[35],76489,en,9.357999999999999,2012-04-13,The Three Stooges,5.1,215,[35]
The Five-Year Engagement,Uni.,25100000.0,2012,37,2012-04-27,30000000,28700285,61623819,5292,"[10749, 35]",72207,en,10.729000000000001,2012-04-27,The Five-Year Engagement,5.8,742,"[10749, 35]"
Lawless,Wein.,16300000.0,2012,38,2012-08-29,26000000,37397291,54393687,5268,"[80, 18]",82633,en,12.147,2012-08-29,Lawless,7.0,1660,"[80, 18]"
Silent Hill: Revelation 3D,ORF,34800000.0,2012,5,2012-10-26,20000000,17530219,55975672,5242,"[53, 27, 9648]",61012,en,13.681,2012-10-26,Silent Hill: Revelation 3D,5.2,786,"[53, 27, 9648]"
Red Tails,Fox,489000.0,2012,61,2012-01-20,58000000,49876377,50365498,5300,"[18, 28, 12, 36, 10752]",72431,en,10.247,2012-01-11,Red Tails,6.0,256,"[18, 28, 12, 36, 10752]"
Trouble with the Curve,WB,13200000.0,2012,18,2012-09-21,60000000,35763137,47818913,5367,"[18, 10749]",87825,en,8.548,2012-09-21,Trouble with the Curve,6.7,613,"[18, 10749]"
End of Watch,ORF,7100000.0,2012,29,2012-09-21,15000000,41003371,57586606,5248,"[80, 18, 53]",77016,en,13.152000000000001,2012-09-21,End of Watch,7.3,1770,"[80, 18, 53]"
Man on a Ledge,LG/S,27600000.0,2012,64,2012-01-27,42000000,18620000,49621440,5283,"[28, 53, 80]",49527,en,11.263,2012-01-27,Man on a Ledge,6.3,1460,"[28, 53, 80]"
The Guilt Trip,Par.,4700000.0,2012,59,2012-12-19,40000000,37134215,41294674,5348,[35],82687,en,8.939,2012-12-19,The Guilt Trip,5.4,403,[35]
Killing Them Softly,Wein.,22900000.0,2012,82,2012-11-30,15000000,14945541,39238443,5281,"[80, 53]",64689,en,11.298,2012-11-30,Killing Them Softly,6.0,1105,"[80, 53]"
Chernobyl Diaries,WB,19000000.0,2012,18,2012-05-25,1000000,18119640,42411721,5229,"[27, 53]",93856,en,14.658,2012-05-25,Chernobyl Diaries,5.0,842,"[27, 53]"
Dredd,LGF,22200000.0,2012,15,2012-09-21,45000000,13414714,41467606,5246,"[28, 878]",49049,en,13.222999999999999,2012-09-21,Dredd,6.7,2788,"[28, 878]"
Arbitrage,RAtt.,27600000.0,2012,9,2012-09-14,12000000,7919574,35830713,5269,"[18, 53]",60599,en,12.14,2012-09-14,Arbitrage,6.2,459,"[18, 53]"
Alex Cross,LG/S,8700000.0,2012,100,2012-10-19,35000000,25888412,35426759,5305,"[28, 53, 80, 9648]",94348,en,9.962,2012-10-18,Alex Cross,5.1,424,"[28, 53, 80, 9648]"
The Perks of Being a Wallflower,LG/S,15600000.0,2012,77,2012-09-21,13000000,17742948,33069303,5222,[18],84892,en,15.148,2012-09-21,The Perks of Being a Wallflower,7.8,5938,[18]
Haywire,Rela.,14400000.0,2012,83,2012-01-20,23000000,18942396,36374700,2634,"[28, 53, 9648]",70435,en,10.015,2011-11-06,Haywire,5.6,747,"[28, 53, 9648]"
Katy Perry: Part of Me,Par.,7400000.0,2012,79,2012-07-05,12000000,25326071,32700439,5465,"[99, 10402]",101267,en,7.138999999999999,2012-07-05,Katy Perry: Part of Me,6.8,147,"[99, 10402]"
Lockout,FD,17900000.0,2012,22,2012-04-13,20000000,14326865,33943049,5282,"[28, 53, 878]",81796,en,11.273,2012-04-13,Lockout,5.9,1004,"[28, 53, 878]"
Joyful Noise,WB,226000.0,2012,86,2012-01-13,27500000,30932113,31157914,5500,"[35, 10402]",63574,en,6.787000000000001,2012-01-13,Joyful Noise,6.4,70,"[35, 10402]"
Premium Rush,Sony,10800000.0,2012,10,2012-08-24,35000000,20275446,31393201,5263,"[80, 28, 53]",49526,en,12.484000000000002,2012-08-24,Premium Rush,6.2,1244,"[80, 28, 53]"
The Raven,Rela.,13600000.0,2012,45,2012-04-27,26000000,16008272,30601801,2156,"[27, 28, 53, 878]",45168,en,0.6,2010-04-20,The Raven,5.9,5,"[27, 28, 53, 878]"
The Raven,Rela.,13600000.0,2012,45,2012-04-27,26000000,16008272,30601801,5362,"[80, 53, 9648]",70436,en,8.635,2012-04-27,The Raven,6.3,681,"[80, 53, 9648]"
The Master,Wein.,11900000.0,2012,87,2012-09-14,37500000,16247159,50647416,5255,[18],68722,en,12.829,2012-09-14,The Master,7.1,1323,[18]
Big Miracle,Uni.,4600000.0,2012,99,2012-02-03,40000000,20157300,25268680,5501,"[12, 18, 10749]",78698,en,6.76,2012-02-03,Big Miracle,6.6,250,"[12, 18, 10749]"
A Thousand Words,P/DW,3600000.0,2012,1,2012-03-09,40000000,18450127,20790486,5399,"[18, 35]",72358,en,8.017000000000001,2012-03-08,A Thousand Words,6.1,685,"[18, 35]"
Wanderlust,Uni.,4200000.0,2012,88,2012-02-24,32500000,17288155,24159934,5307,"[35, 10749]",50647,en,9.896,2012-02-24,Wanderlust,5.4,693,"[35, 10749]"
Beasts of the Southern Wild,FoxS,8300000.0,2012,18,2012-06-27,1800000,12795746,23265132,5429,"[18, 14, 12]",84175,en,7.53,2012-06-29,Beasts of the Southern Wild,6.9,605,"[18, 14, 12]"
Polisse,IFC,20200000.0,2012,24,2012-05-18,8900000,176988,22744132,2768,[18],71157,fr,7.682,2011-11-11,Polisse,7.8,670,[18]
Amour,SPC,13100000.0,2012,51,2012-12-19,9700000,6738954,36787044,5293,"[18, 10749]",86837,fr,10.705,2012-12-19,Amour,7.7,746,"[18, 10749]"
The Man with the Iron Fists,Uni.,4099999.0,2012,79,2012-11-02,15000000,15634090,22018988,5217,[28],97430,en,15.457,2012-11-02,The Man with the Iron Fists,5.3,573,[28]
Seven Psychopaths,CBS,4400000.0,2012,36,2012-10-12,13500000,15024049,33035736,5288,"[35, 80]",86838,en,10.967,2012-10-12,Seven Psychopaths,6.8,2109,"[35, 80]"
The Cold Light of Day,LG/S,13100000.0,2012,78,2012-09-07,20000000,3763583,25361206,5346,"[28, 53, 9648]",77948,en,8.974,2012-09-06,The Cold Light of Day,5.1,463,"[28, 53, 9648]"
The Words,CBS,1700000.0,2012,46,2012-09-07,6000000,11494838,16369708,5457,"[18, 53]",83686,en,7.2010000000000005,2012-09-07,The Words,6.6,628,"[18, 53]"
Playing for Keeps,FD,41100000.0,2012,49,1986-10-03,35000000,2000000,2000000,5402,"[35, 10749]",77875,en,7.778,2012-12-07,Playing for Keeps,5.6,420,"[35, 10749]"
Silent House,ORF,347000.0,2012,97,2012-03-09,2000000,12739737,16610760,2827,"[27, 9648]",92182,en,7.079,2011-01-21,Silent House,5.2,184,"[27, 9648]"
People Like Us,BV,41100000.0,2012,60,2012-06-29,16000000,12431792,12617472,5339,[18],98548,en,9.078,2012-06-29,People Like Us,6.8,360,[18]
